year,gender,official_time,seconds
2001,M,2:34:51,9291.0
2001,M,2:34:55,9295.0
2001,M,2:34:56,9296.0
2001,M,2:35:02,9302.0
2001,M,2:35:29,9329.0
2001,M,2:35:30,9330.0
2001,M,2:35:39,9339.0
2001,M,2:35:43,9343.0
2001,M,2:36:09,9369.0
2001,M,2:36:12,9372.0
2001,M,2:36:14,9374.0
2001,M,2:36:24,9384.0
2001,M,2:36:26,9386.0
2001,M,2:36:27,9387.0
2001,F,2:36:36,9396.0
2001,M,2:36:41,9401.0
2001,F,2:36:42,9402.0
2001,M,2:36:44,9404.0
2001,M,2:36:47,9407.0
2001,M,2:36:51,9411.0
2001,M,2:36:57,9417.0
2001,M,2:37:00,9420.0
2001,F,2:37:11,9431.0
2001,M,2:37:19,9439.0
2001,M,2:37:25,9445.0
2001,M,2:37:26,9446.0
2002,M,2:09:02,7742.0
2002,M,2:09:05,7745.0
2002,M,2:09:45,7785.0
2002,M,2:09:45,7785.0
2002,M,2:10:30,7830.0
2002,M,2:10:40,7840.0
2002,M,2:11:39,7899.0
2002,M,2:11:43,7903.0
2002,M,2:11:49,7909.0
2002,M,2:12:28,7948.0
2002,M,2:12:40,7960.0
2002,M,2:12:48,7968.0
2002,M,2:13:04,7984.0
2002,M,2:13:04,7984.0
2002,M,2:13:28,8008.0
2002,M,2:15:17,8117.0
2002,M,2:15:19,8119.0
2002,M,2:15:55,8155.0
2002,M,2:17:35,8255.0
2002,M,2:17:58,8278.0
2002,M,2:18:21,8301.0
2002,M,2:19:03,8343.0
2002,M,2:19:54,8394.0
2002,M,2:20:14,8414.0
2002,M,2:20:23,8423.0
2002,M,2:20:38,8438.0
2002,F,2:20:43,8443.0
2002,M,2:20:53,8453.0
2002,F,2:21:12,8472.0
2002,M,2:22:23,8543.0
2002,M,2:22:56,8576.0
2002,M,2:23:15,8595.0
2002,M,2:24:45,8685.0
2002,M,2:25:03,8703.0
2002,F,2:26:01,8761.0
2002,M,2:26:20,8780.0
2002,M,2:26:37,8797.0
2002,M,2:26:37,8797.0
2002,M,2:26:40,8800.0
2002,M,2:26:46,8806.0
2002,M,2:26:57,8817.0
2002,M,2:27:15,8835.0
2002,M,2:27:20,8840.0
2002,F,2:27:26,8846.0
2002,M,2:27:43,8863.0
2002,M,2:27:52,8872.0
2002,M,2:27:53,8873.0
2002,M,2:27:57,8877.0
2002,F,2:27:58,8878.0
2002,M,2:28:30,8910.0
2002,M,2:28:35,8915.0
2002,M,2:28:43,8923.0
2002,F,2:29:02,8942.0
2002,M,2:29:22,8962.0
2002,M,2:29:29,8969.0
2002,M,2:29:31,8971.0
2002,M,2:29:39,8979.0
2002,M,2:29:41,8981.0
2002,M,2:29:42,8982.0
2002,M,2:29:55,8995.0
2002,M,2:29:56,8996.0
2002,M,2:30:00,9000.0
2002,M,2:30:14,9014.0
2002,F,2:30:26,9026.0
2002,M,2:30:36,9036.0
2002,M,2:30:39,9039.0
2002,M,2:30:49,9049.0
2002,M,2:31:03,9063.0
2002,M,2:31:03,9063.0
2002,M,2:31:04,9064.0
2002,M,2:31:06,9066.0
2002,M,2:31:14,9074.0
2002,M,2:31:37,9097.0
2002,M,2:31:38,9098.0
2002,M,2:31:52,9112.0
2002,M,2:31:55,9115.0
2002,F,2:31:56,9116.0
2002,M,2:31:58,9118.0
2002,M,2:31:59,9119.0
2002,M,2:32:32,9152.0
2002,M,2:32:34,9154.0
2002,M,2:32:36,9156.0
2002,M,2:32:43,9163.0
2002,M,2:33:12,9192.0
2002,M,2:33:14,9194.0
2002,M,2:33:19,9199.0
2002,M,2:33:24,9204.0
2002,M,2:33:29,9209.0
2002,M,2:33:32,9212.0
2002,M,2:33:34,9214.0
2002,M,2:33:36,9216.0
2002,M,2:33:40,9220.0
2002,M,2:33:59,9239.0
2002,M,2:33:59,9239.0
2002,M,2:33:59,9239.0
2002,M,2:34:11,9251.0
2002,M,2:34:17,9257.0
2002,M,2:34:20,9260.0
2002,M,2:34:35,9275.0
2002,M,2:34:46,9286.0
2003,M,2:10:11,7811.0
2003,M,2:10:34,7834.0
2003,M,2:11:11,7871.0
2003,M,2:11:28,7888.0
2003,M,2:12:45,7965.0
2003,M,2:15:29,8129.0
2003,M,2:16:14,8174.0
2003,M,2:16:16,8176.0
2003,M,2:17:00,8220.0
2003,M,2:17:18,8238.0
2003,M,2:17:50,8270.0
2003,M,2:18:31,8311.0
2003,M,2:18:55,8335.0
2003,M,2:22:06,8526.0
2003,M,2:23:59,8639.0
2003,F,2:25:20,8720.0
2003,F,2:26:51,8811.0
2003,F,2:27:20,8840.0
2003,F,2:27:39,8859.0
2003,M,2:29:00,8940.0
2003,M,2:29:56,8996.0
2003,M,2:30:10,9010.0
2003,M,2:30:21,9021.0
2003,M,2:30:24,9024.0
2003,M,2:30:25,9025.0
2003,F,2:30:28,9028.0
2003,F,2:30:57,9057.0
2003,M,2:31:24,9084.0
2003,F,2:31:30,9090.0
2003,M,2:31:55,9115.0
2003,M,2:32:34,9154.0
2003,M,2:32:45,9165.0
2003,M,2:32:50,9170.0
2003,M,2:32:54,9174.0
2003,M,2:32:55,9175.0
2003,M,2:33:24,9204.0
2003,M,2:33:26,9206.0
2003,M,2:33:36,9216.0
2003,M,2:34:21,9261.0
2003,M,2:34:43,9283.0
2003,M,2:35:19,9319.0
2003,M,2:35:21,9321.0
2003,M,2:35:26,9326.0
2003,M,2:35:34,9334.0
2003,M,2:35:56,9356.0
2003,M,2:36:06,9366.0
2003,M,2:36:22,9382.0
2003,M,2:36:45,9405.0
2003,M,2:36:48,9408.0
2003,F,2:37:32,9452.0
2003,M,2:37:50,9470.0
2003,F,2:38:19,9499.0
2003,M,2:38:27,9507.0
2003,M,2:38:31,9511.0
2003,M,2:38:35,9515.0
2003,M,2:38:39,9519.0
2003,M,2:38:41,9521.0
2003,F,2:38:43,9523.0
2003,M,2:39:08,9548.0
2003,M,2:39:10,9550.0
2003,M,2:39:13,9553.0
2003,M,2:39:14,9554.0
2003,M,2:39:21,9561.0
2003,M,2:39:22,9562.0
2003,M,2:39:28,9568.0
2003,M,2:39:34,9574.0
2003,M,2:39:45,9585.0
2003,M,2:39:57,9597.0
2003,M,2:40:12,9612.0
2003,M,2:40:30,9630.0
2003,M,2:40:39,9639.0
2003,M,2:40:40,9640.0
2003,M,2:40:43,9643.0
2003,M,2:40:50,9650.0
2003,F,2:40:52,9652.0
2003,M,2:40:58,9658.0
2003,M,2:41:02,9662.0
2003,M,2:41:05,9665.0
2003,M,2:41:19,9679.0
2003,M,2:41:22,9682.0
2003,M,2:41:24,9684.0
2003,M,2:41:25,9685.0
2003,F,2:41:34,9694.0
2003,M,2:41:47,9707.0
2003,M,2:42:20,9740.0
2003,M,2:42:24,9744.0
2003,M,2:42:26,9746.0
2003,M,2:42:49,9769.0
2003,M,2:42:52,9772.0
2003,M,2:42:55,9775.0
2003,M,2:43:05,9785.0
2003,M,2:43:20,9800.0
2003,M,2:43:35,9815.0
2003,M,2:43:38,9818.0
2003,M,2:43:41,9821.0
2003,M,2:43:42,9822.0
2003,M,2:43:49,9829.0
2003,M,2:43:49,9829.0
2003,M,2:43:49,9829.0
2003,M,2:43:51,9831.0
2004,M,2:10:37,7837.0
2004,M,2:11:49,7909.0
2004,M,2:13:38,8018.0
2004,M,2:14:34,8074.0
2004,M,2:17:30,8250.0
2004,M,2:17:45,8265.0
2004,M,2:18:23,8303.0
